code;question;answer;difficulty;source;cite
99012145012002;¿A cuánto asciende el plus de nocturnidad?;El plus por trabajo nocturno es de 2,05 euros por hora trabajada.;medium;contactcenter;El plus de nocturnidad se establece en 2,05 euros brutos por hora efectiva trabajada entre las 22:00 y las 06:00 horas.
50000675011982;¿De cuántas horas es la jornada laboral anual?;La jornada laboral máxima es de 1.752 horas de trabajo efectivo al año.;easy;siderometalurgiazaragoza;La jornada laboral máxima anual para los años 2024, 2025 y 2026 queda fijada en 1.752 horas de trabajo efectivo.
46001595011981;¿Qué ocurre si un festivo coincide con mi día de descanso?;Se compensará con otro día libre o se abonará como horas extraordinarias.;hard;limpiezavalencia;Cuando los días festivos coincidan con el día de descanso semanal del trabajador, este tendrá derecho a compensación económica o descanso sustitutorio.
2803005011981;¿Cuántos días de vacaciones tengo?;Tienes derecho a 23 días laborables de vacaciones por año trabajado.;easy;oficinasydespachosmadrid;El período de vacaciones anuales retribuidas será de 23 días laborables para todo el personal afectado por el presente Convenio.
28001575011982;¿Qué ayuda percibo por hijos con discapacidad en el sector sanitario de Madrid?;Se establece una ayuda económica mensual de 150 euros por cada hijo.;medium;establecimientosanitariomadrid;Las empresas abonarán a sus trabajadores que tengan hijos con discapacidad legalmente reconocida una ayuda de 150 € mensuales.
28009435011996;¿Cuál es la duración del descanso entre jornadas en el sector de Hospedaje de Madrid?;El descanso mínimo entre jornadas debe ser de 12 horas.;easy;hospedajemadrid;Entre el final de una jornada y el comienzo de la siguiente mediarán, como mínimo, doce horas.
29000565011981;¿Qué porcentaje de recargo tiene el valor de la hora extraordinaria en Clínicas de Málaga?;Las horas extraordinarias se abonarán con un recargo del 75% sobre la hora ordinaria.;medium;establecimientosanitariomalaga;El valor de la hora extraordinaria se obtendrá incrementando el de la hora ordinaria en un 75 por 100.
41001445011988;¿A cuántos días de licencia retribuida se tiene derecho por matrimonio en Sanidad de Sevilla?;El trabajador tiene derecho a 15 días naturales de licencia retribuida.;easy;establecimientosanitariosevilla;Por matrimonio de la persona trabajadora, quince días naturales.
50000675011982;¿Existe un seguro de accidentes obligatorio en el Metal de Zaragoza?;Sí, la empresa debe suscribir una póliza de 30.000€ para casos de muerte o incapacidad absoluta.;hard;siderometalurgiazaragoza;Las empresas afectadas por este convenio vendrán obligadas a concertar un seguro colectivo de accidentes para sus trabajadores.
46001595011981;¿Cuál es el periodo de prueba para un operario de limpieza en Valencia?;El periodo de prueba para el personal no cualificado es de 15 días laborables.;easy;limpiezavalencia;Para los operarios y resto de personal no cualificado, el periodo de prueba será de quince días laborales.
